,price,type,room_num,floor,area_m2,floors_num,year_built,last_refurbishment,address
843,"CHF3,000,000.–",Apartment,5.5,2,200 m2,,2008.0,2016.0,"Via Sassa 8, 6900 Massagno"
844,"CHF265,000.–",Apartment,2.5,,45 m2,,1980.0,,1869 Massongex
845,"CHF430,000.–",Apartment,4.5,1,,3.0,1994.0,,"In der Breiten 7, 2554 Meinisberg"
846,"CHF510,000.–",Apartment,2.5,1,64 m2,,2022.0,,"Via Scairone, 6818 Melano"
847,"CHF990,000.–",Attic flat,4.5,2,130 m2,,2022.0,,6818 Melano
848,"CHF1,050,000.–",Apartment,4.5,GF,,,2022.0,,6818 Melano
849,"CHF1,600,000.–",Attic flat,5.5,,187 m2,,2012.0,,6818 Melano
850,"CHF1,600,000.–",Attic flat,5.5,,187 m2,,2012.0,,6818 Melano
851,"CHF1,030,000.–",Apartment,2.0,,83 m2,,2016.0,,6815 Melide
852,"CHF1,130,000.–",Apartment,3.5,,104 m2,,2017.0,,"Lungolago Motta, 6815 Melide"
853,"CHF1,365,000.–",Apartment,4.5,3,126 m2,,,,6815 Melide
854,"CHF1,415,000.–",Apartment,3.5,3,90 m2,,2016.0,,6815 Melide
855,"CHF2,950,000.–",Attic flat,7.5,,,,,,6815 Melide
856,"CHF210,000.–",Apartment,1.5,GF,42 m2,,2022.0,,6850 Mendrisio
857,"CHF550,000.–",Apartment,2.5,1,,,,,6850 Mendrisio
858,"CHF680,000.–",Apartment,3.5,3,124 m2,,,,"Via Carlo Pasta, 6850 Mendrisio"
859,"CHF715,000.–",Apartment,3.5,,93 m2,,2020.0,,6850 Mendrisio
860,"CHF790,000.–",Apartment,4.5,2,200 m2,,,,6850 Mendrisio
861,"CHF830,000.–",Duplex,5.0,,200 m2,,,,6850 Mendrisio
862,"CHF830,000.–",Apartment,5.0,,200 m2,,,,6850 Mendrisio
863,"CHF1,090,000.–",Apartment,4.5,3,143 m2,4.0,2019.0,,"Via Praella, 6850 Mendrisio"
864,"CHF1,160,000.–",Apartment,5.5,,178 m2,,2020.0,,6850 Mendrisio
865,"CHF1,160,000.–",Apartment,4.5,3,152 m2,4.0,2019.0,,"Via Praella, 6850 Mendrisio"
866,"CHF630,000.–",Apartment,2.5,4,66 m2,,2017.0,,6648 Minusio
867,"CHF640,000.–",Apartment,3.5,2,102 m2,4.0,1970.0,,6648 Minusio
868,"CHF760,000.–",Apartment,4.5,1,105 m2,,2006.0,,"Via San Gottardo 159, 6648 Minusio"
869,"CHF890,000.–",Apartment,3.5,2,85 m2,,2005.0,,6648 Minusio
870,"CHF1,215,000.–",Apartment,4.5,2,144 m2,,2017.0,,"Via San Quirico 4, 6648 Minusio"
871,"CHF1,590,000.–",Terrace flat,3.5,5,140 m2,,1975.0,,"Via Mondacce 141, 6648 Minusio"
872,"CHF2,300,000.–",Apartment,4.5,2,142 m2,,2014.0,,6648 Minusio
873,"CHF2,440,000.–",Apartment,4.5,4,257 m2,,2019.0,,6648 Minusio
874,"CHF2,550,000.–",Apartment,4.5,5,243 m2,,2019.0,,6648 Minusio
875,"CHF2,565,000.–",Attic flat,3.5,6,150 m2,6.0,2020.0,,"Via Verbano 9, 6648 Minusio"
876,"CHF2,630,000.–",Apartment,4.5,6,230 m2,,2019.0,,6648 Minusio
877,"CHF661,000.–",Apartment,5.5,GF,124 m2,2.0,,,"Route de Montana, 3974 Mollens"
878,"CHF706,000.–",Apartment,4.5,2,102 m2,,,,"Route de Montana, 3974 Mollens"
879,"CHF461,900.–",Apartment,2.5,,60 m2,,2005.0,2012.0,1146 Mollens VD
880,"CHF380,000.–",Apartment,2.5,3,60 m2,,1980.0,,3974 Mollens VS
881,"CHF240,000.–",Apartment,2.5,1,45 m2,,,,"Place de l'Aigle 4, 1663 Moléson"
882,"CHF3,480,000.–",Duplex,7.5,2,300 m2,2.0,2010.0,2021.0,1185 Mont-sur-Rolle
883,"CHF1,680,000.–",Apartment,4.5,1,137 m2,,2012.0,,6926 Montagnola
884,"CHF1,830,000.–",Apartment,6.5,GF,195 m2,,2011.0,,6926 Montagnola
885,"CHF706,000.–",Apartment,4.5,2,102 m2,,,,"Route de Montana, 3974 Mollens"
886,"CHF461,900.–",Apartment,2.5,,60 m2,,2005.0,2012.0,1146 Mollens VD
887,"CHF380,000.–",Apartment,2.5,3,60 m2,,1980.0,,3974 Mollens VS
888,"CHF240,000.–",Apartment,2.5,1,45 m2,,,,"Place de l'Aigle 4, 1663 Moléson"
889,"CHF3,480,000.–",Duplex,7.5,2,300 m2,2.0,2010.0,2021.0,1185 Mont-sur-Rolle
890,"CHF1,680,000.–",Apartment,4.5,1,137 m2,,2012.0,,6926 Montagnola
891,"CHF1,830,000.–",Apartment,6.5,GF,195 m2,,2011.0,,6926 Montagnola
892,"CHF2,780,000.–",Apartment,4.5,3,265 m2,,2004.0,,6926 Montagnola
893,"CHF4,560,000.–",Apartment,7.5,GF,269 m2,2.0,2007.0,,6926 Montagnola
894,"CHF4,590,000.–",Apartment,5.5,2,253 m2,,2021.0,,6926 Montagnola
895,"CHF370,000.–",Apartment,2.5,GF,71 m2,,,,"Route du Pont Rouge, 1870 Monthey"
896,"CHF595,000.–",Apartment,4.5,1,125 m2,,,,"Route du Pont Rouge, 1870 Monthey"
897,"CHF890,000.–",Attic flat,5.5,3,171 m2,,,,"Route du Pont Rouge, 1870 Monthey"
898,"CHF680,000.–",Apartment,3.5,1,82 m2,,1986.0,2000.0,1820 Montreux
899,"CHF860,000.–",Apartment,3.5,3,80 m2,1.0,2014.0,,1820 Montreux
900,"CHF1,600,000.–",Apartment,3.5,GF,104 m2,1.0,2008.0,,1820 Montreux
901,"CHF1,650,000.–",Apartment,2.5,1,85 m2,,2019.0,,1820 Montreux
902,"CHF2,250,000.–",Apartment,3.5,2,140 m2,,2014.0,,1820 Montreux
903,"CHF2,590,000.–",Apartment,5.5,999,180 m2,,2003.0,,1820 Montreux
904,"CHF3,900,000.–",Apartment,6.5,999,219 m2,,2009.0,,1820 Montreux
905,"CHF340,000.–",Apartment,3.5,4,66 m2,,,,6834 Morbio Inferiore
906,"CHF430,000.–",Apartment,4.5,1,,,,,6834 Morbio Inferiore
907,"CHF1,250,000.–",Apartment,3.5,2,113 m2,4.0,,,6922 Morcote
908,"CHF1,350,000.–",Apartment,4.5,,133 m2,,1995.0,,6922 Morcote
909,"CHF525,000.–",Apartment,3.5,GF,92 m2,,2022.0,,1875 Morgins
910,"CHF580,000.–",Apartment,4.5,1,104 m2,,2022.0,,1875 Morgins
911,"CHF620,000.–",Apartment,4.5,GF,104 m2,,2020.0,,1875 Morgins
912,"CHF450,000.–",Apartment,2.5,,,,,,"Via Francesca, 6600 Muralto"
913,"CHF1,690,000.–",Apartment,4.5,2,140 m2,,2015.0,,6933 Muzzano
914,"CHF2,320,000.–",Apartment,4.5,1,192 m2,,2015.0,,6933 Muzzano
915,"CHF4,400,000.–",Apartment,5.5,4,285 m2,,2015.0,,6933 Muzzano
916,"CHF680,000.–",Apartment,5.5,2,141 m2,3.0,1988.0,,"Alte Bernstrasse 2, 5036 Oberentfelden"
917,"CHF750,000.–",Roof flat,2.5,,75 m2,,1996.0,,"Kirchgasse 6, 4104 Oberwil BL"
918,"CHF850,000.–",Apartment,3.5,,91 m2,,1982.0,,6644 Orselina
919,"CHF1,280,000.–",Apartment,3.5,,120 m2,,2010.0,,6644 Orselina
920,"CHF495,000.–",Apartment,4.5,1,110 m2,,1967.0,2019.0,1937 Orsières
921,"CHF340,000.–",Apartment,3.5,4,66 m2,,,,6834 Morbio Inferiore
922,"CHF430,000.–",Apartment,4.5,1,,,,,6834 Morbio Inferiore
923,"CHF1,250,000.–",Apartment,3.5,2,113 m2,4.0,,,6922 Morcote
924,"CHF1,350,000.–",Apartment,4.5,,133 m2,,1995.0,,6922 Morcote
925,"CHF525,000.–",Apartment,3.5,GF,92 m2,,2022.0,,1875 Morgins
926,"CHF580,000.–",Apartment,4.5,1,104 m2,,2022.0,,1875 Morgins
927,"CHF620,000.–",Apartment,4.5,GF,104 m2,,2020.0,,1875 Morgins
928,"CHF450,000.–",Apartment,2.5,,,,,,"Via Francesca, 6600 Muralto"
929,"CHF1,690,000.–",Apartment,4.5,2,140 m2,,2015.0,,6933 Muzzano
930,"CHF2,320,000.–",Apartment,4.5,1,192 m2,,2015.0,,6933 Muzzano
931,"CHF4,400,000.–",Apartment,5.5,4,285 m2,,2015.0,,6933 Muzzano
932,"CHF680,000.–",Apartment,5.5,2,141 m2,3.0,1988.0,,"Alte Bernstrasse 2, 5036 Oberentfelden"
933,"CHF750,000.–",Roof flat,2.5,,75 m2,,1996.0,,"Kirchgasse 6, 4104 Oberwil BL"
934,"CHF850,000.–",Apartment,3.5,,91 m2,,1982.0,,6644 Orselina
935,"CHF1,280,000.–",Apartment,3.5,,120 m2,,2010.0,,6644 Orselina
936,"CHF495,000.–",Apartment,4.5,1,110 m2,,1967.0,2019.0,1937 Orsières
937,"CHF599,000.–",Duplex,6.5,3,190 m2,5.0,1974.0,2016.0,1937 Orsières
938,"CHF149,000.–",Studio,1.5,1,28 m2,,1975.0,2021.0,1911 Ovronnaz
939,"CHF265,000.–",Apartment,2.5,3,57 m2,1.0,1983.0,2021.0,1911 Ovronnaz
940,"CHF626,000.–",Apartment,3.5,GF,92 m2,,2022.0,,1911 Ovronnaz
941,"CHF759,000.–",Apartment,3.5,,91 m2,,2022.0,,1911 Ovronnaz
942,"CHF325,000.–",Apartment,1.0,2,36 m2,,,,6900 Paradiso
943,"CHF450,000.–",Apartment,2.5,8,64 m2,,,,"Via Zorzi, 6900 Paradiso"
944,"CHF1,395,000.–",Apartment,3.5,,127 m2,,2021.0,,6900 Paradiso
945,"CHF1,480,000.–",Apartment,4.5,3,182 m2,,2015.0,,6900 Paradiso
946,"CHF1,490,000.–",Apartment,3.5,2,100 m2,,,,6900 Paradiso
947,"CHF2,000,000.–",Apartment,3.5,1,135 m2,,2014.0,,6900 Paradiso
948,"CHF2,050,000.–",Apartment,4.5,8,180 m2,,2021.0,,"Via San Salvatore, 6900 Paradiso"
949,"CHF2,620,000.–",Attic flat,4.5,6,201 m2,,2022.0,,6900 Paradiso
950,"CHF2,630,000.–",Apartment,4.5,7,182 m2,,2008.0,,6900 Paradiso
951,"CHF2,640,000.–",Apartment,5.5,4,260 m2,,,,"Via Zorzi, 6900 Paradiso"
952,"CHF3,505,000.–",Attic flat,5.5,6,269 m2,,2021.0,,6900 Paradiso
953,"CHF3,840,000.–",Attic flat,4.5,5,241 m2,5.0,,,6900 Paradiso
954,"CHF3,960,000.–",Attic flat,4.5,5,241 m2,5.0,,,6900 Paradiso
955,"CHF7,269,000.–",Attic flat,6.5,,269 m2,,,,6900 Paradiso
956,"CHF940,000.–",Apartment,4.0,2,80 m2,,,,"A Perly, 1258 Perly"
957,"CHF1,595,000.–",Apartment,5.0,1,126 m2,,2009.0,,1213 Petit-Lancy
